ID,Latitude,Longitude
1071,6.0,76.5
1072,6.5,76.5
1073,7.0,76.5
1074,7.5,76.5
1075,8.0,76.5
1076,8.5,76.5
1077,9.0,76.5
1078,9.5,76.5
1079,10.0,76.5
1080,10.5,76.5
1081,11.0,76.5
1082,11.5,76.5
1083,12.0,76.5
1084,12.5,76.5
1085,13.0,76.5
1086,13.5,76.5
1087,14.0,76.5
1088,14.5,76.5
1089,15.0,76.5
1090,15.5,76.5
1091,16.0,76.5
1092,16.5,76.5
1093,17.0,76.5
1094,17.5,76.5
1095,18.0,76.5
1096,18.5,76.5
1097,19.0,76.5
1098,19.5,76.5
1099,20.0,76.5
1100,20.5,76.5
1101,21.0,76.5
1102,21.5,76.5
1103,22.0,76.5
1104,22.5,76.5
1105,23.0,76.5
1106,23.5,76.5
1107,24.0,76.5
1108,24.5,76.5
1109,25.0,76.5
1110,25.5,76.5
1111,26.0,76.5
1112,26.5,76.5
1113,27.0,76.5
1114,27.5,76.5
1115,28.0,76.5
1116,28.5,76.5
1117,29.0,76.5
1118,29.5,76.5
1119,30.0,76.5
1120,30.5,76.5
1121,31.0,76.5
1122,31.5,76.5
1123,32.0,76.5
1124,32.5,76.5
1125,33.0,76.5
1126,33.5,76.5
1127,34.0,76.5
1128,34.5,76.5
1129,35.0,76.5
1130,35.5,76.5
1131,36.0,76.5
1132,36.5,76.5
1133,37.0,76.5
1134,6.0,77.0
1135,6.5,77.0
1136,7.0,77.0
1137,7.5,77.0
1138,8.0,77.0
1139,8.5,77.0
1140,9.0,77.0
1141,9.5,77.0
1142,10.0,77.0
1143,10.5,77.0
1144,11.0,77.0
1145,11.5,77.0
1146,12.0,77.0
1147,12.5,77.0
1148,13.0,77.0
1149,13.5,77.0
1150,14.0,77.0
1151,14.5,77.0
1152,15.0,77.0
1153,15.5,77.0
1154,16.0,77.0
1155,16.5,77.0
1156,17.0,77.0
1157,17.5,77.0
1158,18.0,77.0
1159,18.5,77.0
1160,19.0,77.0
1161,19.5,77.0
1162,20.0,77.0
1163,20.5,77.0
1164,21.0,77.0
1165,21.5,77.0
1166,22.0,77.0
1167,22.5,77.0
1168,23.0,77.0
1169,23.5,77.0
1170,24.0,77.0
1171,24.5,77.0
1172,25.0,77.0
1173,25.5,77.0
1174,26.0,77.0
1175,26.5,77.0
1176,27.0,77.0
1177,27.5,77.0
1178,28.0,77.0
1179,28.5,77.0
1180,29.0,77.0
1181,29.5,77.0
1182,30.0,77.0
1183,30.5,77.0
1184,31.0,77.0
1185,31.5,77.0
1186,32.0,77.0
1187,32.5,77.0
1188,33.0,77.0
1189,33.5,77.0
1190,34.0,77.0
1191,34.5,77.0
1192,35.0,77.0
1193,35.5,77.0
1194,36.0,77.0
1195,36.5,77.0
1196,37.0,77.0
1197,6.0,77.5
1198,6.5,77.5
1199,7.0,77.5
1200,7.5,77.5
1201,8.0,77.5
1202,8.5,77.5
1203,9.0,77.5
1204,9.5,77.5
1205,10.0,77.5
1206,10.5,77.5
1207,11.0,77.5
1208,11.5,77.5
1209,12.0,77.5
1210,12.5,77.5
1211,13.0,77.5
1212,13.5,77.5
1213,14.0,77.5
1214,14.5,77.5
1215,15.0,77.5
1216,15.5,77.5
1217,16.0,77.5
1218,16.5,77.5
1219,17.0,77.5
1220,17.5,77.5
1221,18.0,77.5
1222,18.5,77.5
1223,19.0,77.5
1224,19.5,77.5
1225,20.0,77.5
1226,20.5,77.5
1227,21.0,77.5
1228,21.5,77.5
1229,22.0,77.5
1230,22.5,77.5
1231,23.0,77.5
1232,23.5,77.5
1233,24.0,77.5
1234,24.5,77.5
1235,25.0,77.5
1236,25.5,77.5
1237,26.0,77.5
1238,26.5,77.5
1239,27.0,77.5
1240,27.5,77.5
1241,28.0,77.5
1242,28.5,77.5
1243,29.0,77.5
1244,29.5,77.5
1245,30.0,77.5
1246,30.5,77.5
1247,31.0,77.5
1248,31.5,77.5
1249,32.0,77.5
1250,32.5,77.5
1251,33.0,77.5
1252,33.5,77.5
1253,34.0,77.5
1254,34.5,77.5
1255,35.0,77.5
1256,35.5,77.5
1257,36.0,77.5
1258,36.5,77.5
1259,37.0,77.5
1260,6.0,78.0
1261,6.5,78.0
1262,7.0,78.0
1263,7.5,78.0
1264,8.0,78.0
1265,8.5,78.0
1266,9.0,78.0
1267,9.5,78.0
1268,10.0,78.0
1269,10.5,78.0
1270,11.0,78.0
1271,11.5,78.0
1272,12.0,78.0
1273,12.5,78.0
1274,13.0,78.0
1275,13.5,78.0
1276,14.0,78.0
1277,14.5,78.0
1278,15.0,78.0
1279,15.5,78.0
1280,16.0,78.0
1281,16.5,78.0
1282,17.0,78.0
1283,17.5,78.0
1284,18.0,78.0
1285,18.5,78.0
1286,19.0,78.0
1287,19.5,78.0
1288,20.0,78.0
1289,20.5,78.0
1290,21.0,78.0
1291,21.5,78.0
1292,22.0,78.0
1293,22.5,78.0
1294,23.0,78.0
1295,23.5,78.0
1296,24.0,78.0
1297,24.5,78.0
1298,25.0,78.0
1299,25.5,78.0
1300,26.0,78.0
1301,26.5,78.0
1302,27.0,78.0
1303,27.5,78.0
1304,28.0,78.0
1305,28.5,78.0
1306,29.0,78.0
1307,29.5,78.0
1308,30.0,78.0
1309,30.5,78.0
1310,31.0,78.0
1311,31.5,78.0
1312,32.0,78.0
1313,32.5,78.0
1314,33.0,78.0
1315,33.5,78.0
1316,34.0,78.0
1317,34.5,78.0
1318,35.0,78.0
1319,35.5,78.0
1320,36.0,78.0
1321,36.5,78.0
1322,37.0,78.0
1323,6.0,78.5
1324,6.5,78.5
1325,7.0,78.5
1326,7.5,78.5
1327,8.0,78.5
1328,8.5,78.5
1329,9.0,78.5
1330,9.5,78.5
1331,10.0,78.5
1332,10.5,78.5
1333,11.0,78.5
1334,11.5,78.5
1335,12.0,78.5
1336,12.5,78.5
1337,13.0,78.5
1338,13.5,78.5
1339,14.0,78.5
1340,14.5,78.5
1341,15.0,78.5
1342,15.5,78.5
1343,16.0,78.5
1344,16.5,78.5
1345,17.0,78.5
1346,17.5,78.5
1347,18.0,78.5
1348,18.5,78.5
1349,19.0,78.5
1350,19.5,78.5
1351,20.0,78.5
1352,20.5,78.5
1353,21.0,78.5
1354,21.5,78.5
1355,22.0,78.5
1356,22.5,78.5
